"","x"
"2000",46542.0695582198
"2001",46529.6147961063
"2002",46349.6766664815
"2003",45519.4489994388
"2004",43728.8977860172
"2005",41982.9894959689
"2006",40154.9754212866
"2007",39441.9881456171
"2008",39478.6232022267
"2009",37516.9906622482
"2010",35717.7610083064
