"","GLM","DeepLearning_model_R_1472601160088_1"
"1",0.00595,0.0054
"2",0.00115,0.0014
"3",8e-04,0.001
"4",0.0029,0.0045
"C",0.835,0.8276
"F",0.00055,0.0015
"P",0.1533,0.1581
"R",0.00025,2e-04
"Y",1e-04,3e-04
